,word,count
1,개구,2
2,라임,2
3,다만,2
4,직접,2
5,판도라,3
6,수중,2
7,촬영,2
9,나비,2
11,섭외,2
13,썼겠드,3
15,어케,2
17,제일,2
18,년도,2
19,기술,2
20,년도,2
21,얼마나,3
23,기다림,3
24,미래,2
26,이유,2
27,아쿠아리움,5
28,시간,2
30,최고,2
31,올해,2
32,최고,2
34,카메론,3
35,카메론,3
37,도대체,3
40,영상,2
43,시간,2
44,무조건,3
45,극장,2
46,화면,2
47,카메론,3
48,영감,2
49,사랑,2
58,얼마,2
61,보람,2
62,생각,2
63,외계,2
64,아쿠아리움,5
65,구경,2
67,생각,2
68,평점,2
69,개판,2
70,최소,2
72,만원,2
73,외계,2
74,행성,2
75,여행,2
76,이면,2
79,가치,2
81,자꾸,2
83,판도라,3
84,행성,2
85,바다,2
86,물멍,2
87,자식,2
89,툴쿤,2
90,제일,2
92,안경,2
93,착용,2
94,시간,2
95,길이,2
98,바닷,2
100,시각,2
101,디테,2
102,일과,2
103,환경,2
104,보존,2
105,대한,2
106,메세지,3
107,전달,2
109,존재,2
110,이유,2
111,상기,2
112,관객,2
113,가치,2
114,즐거움,3
115,장르,2
116,고유,2
117,영역,2
118,역대,2
119,최고,2
122,시간,2
123,별로,2
125,보람,2
126,노스,2
127,인간,2
129,마지막,3
130,전투,2
131,바다,2
132,부족,2
133,어디,2
134,보이지,3
135,대령,2
137,이해도,3
141,가상,2
142,세계,2
143,구현,2
144,야심,2
145,박수,2
146,웅장,2
147,분위기,3
148,다소,2
149,이야기,3
150,스토리,3
152,그래픽,3
155,내내,2
156,자식,2
157,때문,2
158,고구마,3
159,기분,2
160,아이,2
161,계속,2
162,사고,2
163,인질,2
165,인질,2
170,인정,2
171,스토리,3
172,카메론,3
173,감독,2
174,인간,2
175,혐오,2
176,생기,2
177,다잉,2
178,고래,2
180,아들,2
181,아버지,3
182,형제,2
183,인생,2
184,기대,2
185,컷던탓,3
187,웟으,2
188,스토리,3
189,아쉬움,3
191,편이,2
193,관람,2
194,체험,2
196,자체,2
197,초당,2
198,억원,2
200,경이,2
205,사람,2
207,알바,2
209,종인,2
210,지금,2
214,조조,2
215,중반,2
217,호강,2
218,해산물,3
219,다큐멘터리,5
220,내셔널,3
221,지오,2
222,그래픽,3
223,카메론,3
224,야심,2
226,스토리,3
227,밀도,2
228,역사상,3
229,가장,2
232,선사,2
233,당신,2
236,아이,2
239,개봉,2
242,스크린,3
247,지난,2
248,지금,2
251,스토리,3
252,장면,2
253,경이,2
258,이번,2
259,편도,2
260,기대,2
263,그래픽,3
264,각본,2
265,조금,2
266,느낌,2
267,다음,2
269,완결,2
270,다시금,3
271,기대,2
272,누가,2
274,하든,2
276,후회,2
278,이견,2
279,볼거리,3
282,내내,2
283,지루함,3
284,스토리,3
285,연성,2
286,제로,2
287,최고,2
288,영상,2
291,평점,2
292,이해,2
294,물의,2
296,스토리,3
297,전개,2
298,생각,2
300,최고,2
302,휘둥그레,4
303,지지,2
304,스케일,3
306,방금,2
311,개봉,2
313,감흥,2
314,스토리,3
316,상영,2
317,시간,2
319,스쿠버다이빙,6
324,스토리,3
325,중요시,3
327,글쎄요,3
328,인간,2
329,처음,2
332,시간,2
334,이야기,3
335,이후,2
336,시간,2
337,이외,2
338,모든,2
340,과거,2
343,최고,2
346,재미,2
347,볼거리,3
348,장면,2
349,구간,2
350,시간,2
352,시각,2
353,스토리,3
354,설리,2
355,가족,2
357,고향,2
358,마지막,3
359,바다,2
360,고향,2
361,개연,2
364,화장실,3
365,컨트롤,3
367,한순간,3
368,전작,2
369,서사,2
370,사실,2
371,후반,2
373,가량,2
374,제외,2
375,시간,2
376,수중,2
377,생태,2
378,다큐,2
379,불과,2
380,시간,2
381,마냥,2
382,벌써,2
383,댓글,2
385,시간,2
387,역대,2
